;;;;;;;;;;;;;;;;;;;;;
Base articles - Vente produits;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Classification article;;;Article;;;;;;Visible dans les outils;;Tarification;;;;;;Unité de mesure article;;;;
Catalogue;Famille;Sous-famille;Code;"Libellé court
(JDE, BL)";"Libellé commercial
(Devis, rapport, facture, OCW, UNITEC)";Statut article;Statut Stock;Article soumis à restriction client;OCW;UNITEC;Famille;Sous-famille;Code sous-Famille;"Tarif de référence
(pour unité de mesure principale)";Code de regroupement;Libellé code regroupement;Unité de mesure principale;Unité de mesure d'appro;Unité de mesure par défaut en nomenclature de pièces détachées;Conversion unité de mesure appro;Conversion unité de mesure nomenclature
CATEGORIE_ARTICLE;FAMILLE_ARTICLE;SOUS_FAMILLE_ARTICLE;CODE;LIBELLE;LIBELLE_COMMERCIAL;STATUT_ARTICLE;STATUT_STOCK;Art_sous_restriction;OCW;UNITEC;LIB_FAMILLE_TARIFAIRE;LIB_SOUS_FAMILLE_TARIFAIRE;SOUS_FAMILLE_TARIFAIRE;TARIF_REF_UM_PRIN;CODE_REGROUPEMENT;LIBELLE_REGROUPEMENT;UM_PRINCIPAL;UM_APPRO;UM_DEFAUT_BOM;CONV_UM_APPRO;CONV_UM_BOM
Catalogue produits;Alarme;Alarme Technique;428402120109;ALARME TECHNIQUE AT16 RACK;Tableau d'alarme technique 16 entrées version rack AT16 RAC;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1711,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Technique;428430140024CS;AT4 CHUBB SECURITE;Tableau d'alarme technique 4 entrées AT4 CHUBB;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    580,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Technique;428430140025CS;AT16 CHUBB SECURITE;Tableau d'alarme technique 16 entrées AT16 CHUBB;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1004,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Technique;428430140034CS;AT8 CHUBB SECURITE;Tableau d'alarme technique 8 entrées AT8 CHUBB;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    878,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Type 4;428430140040;ALARME T4 PILE RF CHUBB;Alarme type 4 radio à pile (diff. sonore/lumineux+DM) Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1370,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Type 4;428430140048;ALARME T4 SECTEUR RF CHUBB;Alarme de type 4 secteur radio Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;   1619,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Type 4;428630140017;TYPE 4 PILE NFS VISUEL;Alarme type 4 à pile signal sonore/lumineux SON'ECLA;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    335,50;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Type 4;428630140017CS;SON'ECLA TYPE 4 V PILE CHUBB;Alarme type 4 à pile signal sonore/lumineux SON'ECLA Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    342,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alarme;Alarme Type 4;428630140109CS;SON'ECLA TYPE 4S NN;Alarme type 4 secteur signal sonore/lumineux SON'ECLA Chubb;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alarmes (type 4, DAD…);VV9;    777,00;; ;Unité;Unité;Unité; ; 
